1207_00091 1
3114_00012 2
1201_00011 3
0131_00023 4
0737_00045 5
1023_00012 6
0773_00007 7
2339_00010 8
0446_00003 9
0658_00016 10
0312_00001 11
1271_00028 12
0076_00015 13
0833_00021 14
0153_00017 15
0140_00018 16
0349_00010 17
0117_00089 18
1238_00006 19
0704_00055 20
0658_00019 21
1294_00011 22
2252_00001 23
0665_00045 24
0358_00004 25
0002_00001 26
0206_00016 27
1294_00012 28
0029_00022 29
0654_00020 30
1201_00025 31
0515_00004 32
0651_00021 33
0166_00022 34
3375_00002 35
0202_00040 36
0903_00013 37
0964_00009 38
0074_00033 39
3332_00009 40
1085_00014 41
1071_00050 42
0644_00026 43
0882_00017 44
0210_00010 45
1051_00002 46
0085_00016 47
2775_00006 48
0694_00016 49
0098_00124 50
0215_00043 51
1118_00017 52
0451_00004 53
1242_00015 54
2053_00006 55
0039_00003 56
0039_00020 57
1112_00013 58
2361_00007 59
0912_00010 60
0601_00019 61
2253_00006 62
2430_00002 63
1157_00007 64
0685_00008 65
2051_00026 66
0906_00009 67
0956_00005 68
0701_00047 69
3355_00001 70
0076_00018 71
1043_00007 72
0589_00006 73
1235_00001 74
1020_00016 75
0135_00022 76
1180_00005 77
0688_00013 78
0641_00038 79
2778_00007 80
0550_00001 81
0959_00004 82
0652_00039 83
1294_00021 84
0654_00014 85
0622_00016 86
0497_00028 87
0495_00020 88
0703_00013 89
0114_00007 90
0353_00006 91
0944_00012 92
1016_00002 93
3122_00047 94
0607_00002 95
1118_00001 96
0726_00011 97
1338_00001 98
2202_00007 99
3332_00048 100
0904_00019 101
0135_00020 102
1121_00019 103
1133_00017 104
1186_00033 105
0679_00002 106
1247_00022 107
0322_00018 108
0309_00058 109
0908_00019 110
0950_00016 111
1192_00035 112
1045_00016 113
0818_00006 114
2773_00004 115
0756_00005 116
1281_00021 117
1176_00002 118
0903_00028 119
0824_00001 120
0153_00012 121
1211_00036 122
1133_00024 123
2332_00003 124
1016_00006 125
0961_00012 126
0324_00004 127
1294_00018 128
